County,Region,State,State_ABB,Adult Obesity,Adult Smokers,Children in Poverty,Diabetic,Food Insecure,Physically Inactive
Atlantic,Northeast,New Jersey,NJ,27%,19%,24%,12%,15%,26%
Tompkins,Northeast,New York,NY,24%,15%,17%,7%,14%,25%
Jefferson,Northeast,New York,NY,27%,16%,23%,8%,15%,27%
Cortland,Northeast,New York,NY,28%,15%,19%,8%,14%,21%
Saratoga,Northeast,New York,NY,26%,14%,10%,8%,10%,23%
Putnam,Northeast,New York,NY,27%,13%,7%,8%,6%,22%
Madison,Northeast,New York,NY,29%,15%,18%,8%,12%,26%
Rensselaer,Northeast,New York,NY,24%,15%,20%,8%,13%,23%
Ontario,Northeast,New York,NY,30%,14%,15%,9%,11%,17%
Livingston,Northeast,New York,NY,30%,15%,19%,9%,12%,24%
Wyoming,Northeast,New York,NY,26%,15%,17%,9%,12%,24%
Clinton,Northeast,New York,NY,30%,16%,19%,9%,14%,27%
Albany,Northeast,New York,NY,27%,14%,19%,9%,13%,22%
Onondaga,Northeast,New York,NY,28%,16%,24%,9%,14%,25%
Nassau,Northeast,New York,NY,23%,12%,9%,9%,7%,26%
Dutchess,Northeast,New York,NY,25%,13%,13%,9%,10%,21%
Cayuga,Northeast,New York,NY,30%,15%,20%,9%,12%,23%
Genesee,Northeast,New York,NY,30%,15%,17%,9%,12%,26%
Otsego,Northeast,New York,NY,26%,16%,22%,9%,12%,21%
Oswego,Northeast,New York,NY,29%,16%,28%,9%,14%,27%
St. Lawrence,Northeast,New York,NY,29%,18%,26%,9%,15%,25%
New York,Northeast,New York,NY,15%,13%,24%,9%,15%,18%
Schenectady,Northeast,New York,NY,26%,15%,21%,9%,13%,23%
Lewis,Northeast,New York,NY,27%,15%,23%,9%,13%,22%
Washington,Northeast,New York,NY,30%,15%,20%,9%,12%,24%
Allegany,Northeast,New York,NY,30%,16%,27%,9%,13%,22%
Suffolk,Northeast,New York,NY,23%,14%,10%,9%,7%,22%
Tioga,Northeast,New York,NY,32%,14%,18%,9%,11%,27%
Warren,Northeast,New York,NY,26%,14%,21%,9%,12%,21%
Orange,Northeast,New York,NY,26%,15%,21%,9%,10%,24%
Seneca,Northeast,New York,NY,31%,15%,21%,9%,12%,25%
Ulster,Northeast,New York,NY,28%,14%,17%,9%,12%,19%
Schoharie,Northeast,New York,NY,27%,15%,22%,9%,12%,26%
Wayne,Northeast,New York,NY,29%,15%,18%,9%,11%,26%
Monroe,Northeast,New York,NY,27%,15%,22%,9%,14%,21%
Broome,Northeast,New York,NY,25%,16%,24%,9%,14%,24%
Chemung,Northeast,New York,NY,32%,16%,27%,9%,14%,25%
Niagara,Northeast,New York,NY,30%,16%,18%,9%,13%,22%
Orleans,Northeast,New York,NY,31%,16%,22%,9%,13%,24%
Essex,Northeast,New York,NY,29%,14%,18%,9%,13%,27%
Richmond,Northeast,New York,NY,26%,15%,21%,9%,11%,31%
Greene,Northeast,New York,NY,30%,15%,20%,9%,13%,25%
Schuyler,Northeast,New York,NY,30%,15%,24%,9%,12%,27%
Oneida,Northeast,New York,NY,30%,16%,29%,9%,14%,28%
Herkimer,Northeast,New York,NY,30%,16%,23%,9%,13%,23%
Steuben,Northeast,New York,NY,30%,16%,24%,9%,14%,23%
Fulton,Northeast,New York,NY,29%,17%,26%,9%,14%,25%
Franklin,Northeast,New York,NY,30%,18%,25%,9%,15%,26%
Westchester,Northeast,New York,NY,20%,11%,13%,10%,9%,20%
Erie,Northeast,New York,NY,27%,15%,23%,10%,14%,23%
Yates,Northeast,New York,NY,25%,16%,24%,10%,12%,24%
Columbia,Northeast,New York,NY,25%,14%,18%,10%,11%,25%
Chenango,Northeast,New York,NY,33%,15%,25%,10%,12%,27%
Cattaraugus,Northeast,New York,NY,28%,17%,23%,10%,14%,28%
Montgomery,Northeast,New York,NY,25%,16%,27%,10%,14%,21%
Rockland,Northeast,New York,NY,21%,14%,26%,10%,10%,24%
Chautauqua,Northeast,New York,NY,30%,16%,29%,10%,14%,26%
Delaware,Northeast,New York,NY,26%,15%,23%,10%,13%,25%
Hamilton,Northeast,New York,NY,28%,13%,21%,10%,11%,25%
Queens,Northeast,New York,NY,24%,12%,21%,11%,13%,28%
Sullivan,Northeast,New York,NY,31%,16%,26%,11%,14%,23%
Kings,Northeast,New York,NY,22%,16%,33%,11%,20%,26%
Bronx,Northeast,New York,NY,29%,19%,43%,15%,19%,29%
Delaware,Northeast,Ohio,OH,27%,14%,5%,9%,10%,20%
Union,Northeast,Ohio,OH,32%,18%,9%,9%,12%,27%
Warren,Northeast,Ohio,OH,29%,16%,8%,9%,12%,24%
Athens,Northeast,Ohio,OH,29%,23%,31%,9%,21%,26%
Wood,Northeast,Ohio,OH,31%,18%,12%,9%,15%,23%
Portage,Northeast,Ohio,OH,29%,20%,18%,10%,16%,24%
Medina,Northeast,Ohio,OH,29%,16%,10%,10%,12%,24%
Putnam,Northeast,Ohio,OH,33%,17%,10%,10%,11%,27%
Clermont,Northeast,Ohio,OH,29%,19%,15%,10%,13%,26%
Greene,Northeast,Ohio,OH,29%,18%,18%,10%,15%,27%
Butler,Northeast,Ohio,OH,30%,20%,20%,10%,15%,25%
Holmes,Northeast,Ohio,OH,28%,20%,19%,10%,14%,27%
Madison,Northeast,Ohio,OH,29%,19%,17%,10%,14%,29%
Pickaway,Northeast,Ohio,OH,36%,19%,19%,10%,15%,31%
Hardin,Northeast,Ohio,OH,34%,21%,25%,10%,16%,32%
Mercer,Northeast,Ohio,OH,29%,16%,12%,10%,12%,29%
Fairfield,Northeast,Ohio,OH,31%,18%,14%,10%,14%,27%
Licking,Northeast,Ohio,OH,29%,18%,21%,10%,14%,29%
Shelby,Northeast,Ohio,OH,32%,19%,16%,10%,14%,26%
Lake,Northeast,Ohio,OH,26%,18%,13%,11%,13%,25%
Auglaize,Northeast,Ohio,OH,34%,20%,12%,11%,12%,29%
Knox,Northeast,Ohio,OH,34%,20%,21%,11%,15%,23%
Franklin,Northeast,Ohio,OH,29%,19%,25%,11%,18%,23%
Hancock,Northeast,Ohio,OH,30%,19%,18%,11%,14%,23%
Wyandot,Northeast,Ohio,OH,35%,17%,14%,11%,14%,30%
Wayne,Northeast,Ohio,OH,27%,19%,20%,11%,14%,26%
Geauga,Northeast,Ohio,OH,28%,16%,12%,11%,11%,27%
Seneca,Northeast,Ohio,OH,35%,19%,26%,11%,15%,27%
Morrow,Northeast,Ohio,OH,37%,20%,21%,11%,14%,30%
Ashland,Northeast,Ohio,OH,30%,20%,21%,11%,15%,29%
Clinton,Northeast,Ohio,OH,35%,20%,20%,11%,17%,34%
Huron,Northeast,Ohio,OH,34%,18%,20%,11%,16%,33%
Champaign,Northeast,Ohio,OH,37%,20%,18%,11%,14%,29%
Fulton,Northeast,Ohio,OH,33%,18%,15%,11%,13%,27%
Lorain,Northeast,Ohio,OH,30%,18%,22%,11%,15%,23%
Henry,Northeast,Ohio,OH,30%,19%,15%,11%,13%,26%
Miami,Northeast,Ohio,OH,32%,19%,16%,11%,15%,27%
Preble,Northeast,Ohio,OH,32%,19%,20%,11%,14%,28%
Summit,Northeast,Ohio,OH,29%,20%,20%,11%,17%,24%
Perry,Northeast,Ohio,OH,36%,21%,25%,11%,17%,31%
Paulding,Northeast,Ohio,OH,30%,19%,18%,11%,14%,26%
Van Wert,Northeast,Ohio,OH,37%,19%,15%,11%,14%,33%
Defiance,Northeast,Ohio,OH,32%,19%,18%,11%,13%,30%
Darke,Northeast,Ohio,OH,31%,19%,17%,12%,14%,34%
Tuscarawas,Northeast,Ohio,OH,35%,18%,18%,12%,15%,33%
Stark,Northeast,Ohio,OH,31%,19%,22%,12%,16%,26%
Hamilton,Northeast,Ohio,OH,29%,20%,24%,12%,19%,23%
Logan,Northeast,Ohio,OH,31%,20%,27%,12%,15%,28%
Brown,Northeast,Ohio,OH,37%,21%,24%,12%,15%,35%
Richland,Northeast,Ohio,OH,33%,20%,23%,12%,17%,29%
Belmont,Northeast,Ohio,OH,33%,21%,25%,12%,15%,33%
Ottawa,Northeast,Ohio,OH,31%,17%,16%,12%,14%,30%
Williams,Northeast,Ohio,OH,34%,20%,22%,12%,14%,30%
Fayette,Northeast,Ohio,OH,32%,21%,25%,12%,17%,31%
Hocking,Northeast,Ohio,OH,34%,21%,26%,12%,15%,29%
Guernsey,Northeast,Ohio,OH,36%,21%,26%,12%,17%,34%
Marion,Northeast,Ohio,OH,34%,22%,27%,12%,17%,33%
Ross,Northeast,Ohio,OH,36%,22%,27%,12%,17%,31%
Jackson,Northeast,Ohio,OH,37%,22%,30%,12%,19%,36%
Erie,Northeast,Ohio,OH,31%,20%,22%,12%,16%,25%
Allen,Northeast,Ohio,OH,34%,21%,25%,12%,17%,32%
Muskingum,Northeast,Ohio,OH,33%,22%,27%,12%,18%,35%
Sandusky,Northeast,Ohio,OH,32%,20%,21%,12%,14%,33%
Carroll,Northeast,Ohio,OH,35%,20%,21%,12%,15%,27%
Columbiana,Northeast,Ohio,OH,32%,21%,24%,12%,16%,31%
Highland,Northeast,Ohio,OH,34%,22%,28%,12%,18%,29%
Crawford,Northeast,Ohio,OH,32%,18%,25%,12%,16%,31%
Coshocton,Northeast,Ohio,OH,34%,21%,27%,12%,17%,28%
Lawrence,Northeast,Ohio,OH,39%,21%,27%,12%,16%,37%
Trumbull,Northeast,Ohio,OH,33%,20%,28%,12%,17%,29%
Lucas,Northeast,Ohio,OH,32%,20%,29%,12%,19%,27%
Washington,Northeast,Ohio,OH,33%,21%,21%,12%,15%,34%
Clark,Northeast,Ohio,OH,30%,20%,28%,13%,17%,28%
Ashtabula,Northeast,Ohio,OH,31%,22%,32%,13%,17%,26%
Pike,Northeast,Ohio,OH,31%,24%,33%,13%,19%,26%
Harrison,Northeast,Ohio,OH,29%,20%,26%,13%,16%,29%
Monroe,Northeast,Ohio,OH,36%,18%,23%,13%,17%,36%
Mahoning,Northeast,Ohio,OH,31%,20%,29%,13%,17%,29%
Vinton,Northeast,Ohio,OH,31%,23%,36%,13%,18%,30%
Gallia,Northeast,Ohio,OH,31%,23%,38%,13%,16%,32%
Adams,Northeast,Ohio,OH,28%,23%,33%,13%,19%,30%
Cuyahoga,Northeast,Ohio,OH,29%,18%,30%,13%,19%,26%
Montgomery,Northeast,Ohio,OH,31%,21%,30%,13%,19%,26%
Jefferson,Northeast,Ohio,OH,34%,21%,31%,13%,17%,29%
Meigs,Northeast,Ohio,OH,35%,23%,33%,13%,19%,33%
Scioto,Northeast,Ohio,OH,36%,25%,36%,13%,19%,30%
Morgan,Northeast,Ohio,OH,33%,21%,28%,13%,18%,28%
Noble,Northeast,Ohio,OH,33%,20%,20%,14%,16%,35%
Centre,Northeast,Pennsylvania,PA,25%,18%,12%,8%,15%,19%
Chester,Northeast,Pennsylvania,PA,24%,14%,9%,9%,10%,17%
Montgomery,Northeast,Pennsylvania,PA,24%,16%,9%,9%,11%,19%
Cumberland,Northeast,Pennsylvania,PA,26%,17%,13%,9%,12%,18%
Bucks,Northeast,Pennsylvania,PA,26%,16%,8%,9%,10%,22%
Perry,Northeast,Pennsylvania,PA,33%,18%,15%,10%,11%,29%
Union,Northeast,Pennsylvania,PA,29%,18%,15%,10%,13%,26%
Snyder,Northeast,Pennsylvania,PA,33%,19%,20%,10%,13%,25%
Clinton,Northeast,Pennsylvania,PA,32%,21%,23%,10%,15%,25%
Lancaster,Northeast,Pennsylvania,PA,29%,17%,15%,10%,11%,21%
Indiana,Northeast,Pennsylvania,PA,36%,20%,22%,10%,14%,28%
Columbia,Northeast,Pennsylvania,PA,35%,21%,18%,10%,14%,25%
Butler,Northeast,Pennsylvania,PA,29%,18%,10%,10%,11%,22%
Allegheny,Northeast,Pennsylvania,PA,26%,19%,19%,10%,14%,23%
Adams,Northeast,Pennsylvania,PA,32%,17%,15%,10%,10%,24%
Montour,Northeast,Pennsylvania,PA,32%,17%,17%,10%,11%,24%
Lebanon,Northeast,Pennsylvania,PA,31%,18%,17%,10%,11%,22%
Delaware,Northeast,Pennsylvania,PA,25%,19%,15%,10%,14%,21%
Washington,Northeast,Pennsylvania,PA,29%,19%,14%,10%,12%,27%
Wyoming,Northeast,Pennsylvania,PA,33%,19%,18%,10%,13%,26%
Greene,Northeast,Pennsylvania,PA,33%,21%,22%,10%,13%,31%
Franklin,Northeast,Pennsylvania,PA,30%,19%,17%,11%,12%,27%
Lycoming,Northeast,Pennsylvania,PA,30%,20%,23%,11%,14%,25%
Erie,Northeast,Pennsylvania,PA,31%,22%,23%,11%,15%,26%
Elk,Northeast,Pennsylvania,PA,28%,18%,14%,11%,12%,27%
Lackawanna,Northeast,Pennsylvania,PA,30%,20%,20%,11%,14%,25%
Clarion,Northeast,Pennsylvania,PA,33%,20%,19%,11%,15%,26%
Northampton,Northeast,Pennsylvania,PA,28%,17%,14%,11%,11%,26%
Berks,Northeast,Pennsylvania,PA,31%,20%,21%,11%,11%,25%
York,Northeast,Pennsylvania,PA,32%,18%,15%,11%,12%,23%
Huntingdon,Northeast,Pennsylvania,PA,30%,20%,21%,11%,14%,27%
Lehigh,Northeast,Pennsylvania,PA,29%,18%,20%,11%,12%,22%
Schuylkill,Northeast,Pennsylvania,PA,35%,20%,19%,11%,14%,29%
Armstrong,Northeast,Pennsylvania,PA,33%,20%,21%,11%,13%,29%
Tioga,Northeast,Pennsylvania,PA,31%,20%,23%,11%,14%,27%
Fulton,Northeast,Pennsylvania,PA,33%,19%,21%,11%,13%,27%
Juniata,Northeast,Pennsylvania,PA,33%,19%,18%,11%,12%,26%
Bradford,Northeast,Pennsylvania,PA,33%,19%,19%,11%,13%,25%
Jefferson,Northeast,Pennsylvania,PA,29%,22%,21%,11%,14%,30%
Mercer,Northeast,Pennsylvania,PA,33%,22%,25%,11%,14%,27%
Westmoreland,Northeast,Pennsylvania,PA,28%,19%,14%,11%,12%,25%
Beaver,Northeast,Pennsylvania,PA,30%,19%,17%,11%,13%,28%
Carbon,Northeast,Pennsylvania,PA,36%,20%,21%,11%,13%,26%
Crawford,Northeast,Pennsylvania,PA,34%,20%,23%,11%,14%,29%
McKean,Northeast,Pennsylvania,PA,31%,21%,25%,11%,14%,26%
Pike,Northeast,Pennsylvania,PA,29%,17%,16%,11%,11%,22%
Luzerne,Northeast,Pennsylvania,PA,29%,18%,24%,11%,15%,30%
Somerset,Northeast,Pennsylvania,PA,35%,19%,21%,11%,14%,29%
Lawrence,Northeast,Pennsylvania,PA,33%,19%,21%,11%,14%,25%
Blair,Northeast,Pennsylvania,PA,34%,20%,21%,11%,13%,29%
Northumberland,Northeast,Pennsylvania,PA,34%,21%,23%,11%,14%,28%
Susquehanna,Northeast,Pennsylvania,PA,32%,18%,20%,11%,12%,24%
Dauphin,Northeast,Pennsylvania,PA,31%,19%,21%,11%,14%,24%
Cambria,Northeast,Pennsylvania,PA,29%,20%,24%,11%,14%,26%
Clearfield,Northeast,Pennsylvania,PA,33%,21%,22%,11%,14%,27%
Warren,Northeast,Pennsylvania,PA,33%,18%,24%,12%,12%,22%
Monroe,Northeast,Pennsylvania,PA,27%,19%,20%,12%,12%,25%
Venango,Northeast,Pennsylvania,PA,34%,20%,25%,12%,14%,26%
Bedford,Northeast,Pennsylvania,PA,35%,21%,20%,12%,13%,28%
Wayne,Northeast,Pennsylvania,PA,33%,20%,20%,12%,12%,24%
Mifflin,Northeast,Pennsylvania,PA,32%,21%,25%,12%,14%,27%
Forest,Northeast,Pennsylvania,PA,33%,22%,41%,12%,15%,23%
Potter,Northeast,Pennsylvania,PA,32%,20%,23%,12%,14%,30%
Cameron,Northeast,Pennsylvania,RI,28%,19%,22%,12%,15%,27%
Sullivan,Northeast,Pennsylvania,RI,32%,18%,22%,12%,13%,32%
Philadelphia,Northeast,Pennsylvania,RI,29%,23%,37%,12%,21%,26%
Fayette,Northeast,Pennsylvania,RI,36%,23%,31%,13%,15%,34%
Bristol,Northeast,Rhode Island,RI,21%,13%,9%,8%,12%,22%
Washington,Northeast,Rhode Island,RI,24%,13%,12%,8%,12%,20%
Newport,Northeast,Rhode Island,RI,22%,14%,13%,9%,14%,19%
Kent,Northeast,Rhode Island,RI,28%,15%,13%,9%,13%,23%
Providence,Northeast,Rhode Island,RI,28%,16%,27%,10%,16%,26%
Chittenden,Northeast,Vermont,VT,21%,12%,11%,6%,13%,15%
Addison,Northeast,Vermont,VT,24%,13%,13%,7%,12%,18%
Franklin,Northeast,Vermont,VT,28%,17%,14%,7%,12%,25%
Washington,Northeast,Vermont,VT,23%,14%,14%,8%,12%,18%
Lamoille,Northeast,Vermont,VT,25%,17%,16%,8%,13%,18%
Grand Isle,Northeast,Vermont,VT,26%,16%,14%,8%,11%,19%
Windsor,Northeast,Vermont,VT,23%,14%,16%,8%,12%,19%
Orange,Northeast,Vermont,VT,26%,16%,18%,8%,12%,21%
Caledonia,Northeast,Vermont,VT,29%,15%,19%,8%,14%,21%
Windham,Northeast,Vermont,VT,23%,16%,18%,8%,13%,19%
Bennington,Northeast,Vermont,VT,25%,15%,19%,9%,14%,20%
Rutland,Northeast,Vermont,VT,28%,17%,19%,9%,14%,21%
Orleans,Northeast,Vermont,VT,30%,18%,23%,9%,14%,25%
Essex,Northeast,Vermont,VT,28%,19%,26%,10%,14%,27%
Shelby,South,Alabama,AL,31%,16%,12%,9%,11%,24%
Lee,South,Alabama,AL,30%,20%,26%,10%,18%,23%
Elmore,South,Alabama,AL,30%,19%,21%,11%,15%,30%
Tuscaloosa,South,Alabama,AL,33%,20%,23%,11%,18%,28%
Madison,South,Alabama,AL,31%,20%,20%,11%,15%,25%
St. Clair,South,Alabama,AL,33%,20%,19%,11%,13%,29%
Limestone,South,Alabama,AL,34%,19%,19%,11%,14%,32%
Baldwin,South,Alabama,AL,27%,19%,20%,11%,14%,25%
Autauga,South,Alabama,AL,31%,19%,18%,11%,14%,29%
Cleburne,South,Alabama,AL,30%,19%,25%,11%,14%,33%
Morgan,South,Alabama,AL,32%,19%,23%,11%,14%,31%
DeKalb,South,Alabama,AL,31%,19%,37%,12%,13%,32%
Cullman,South,Alabama,AL,35%,20%,24%,12%,14%,28%
Marshall,South,Alabama,AL,35%,20%,33%,12%,14%,32%
Lauderdale,South,Alabama,AL,32%,19%,26%,12%,15%,30%
Blount,South,Alabama,AL,32%,19%,24%,12%,12%,29%
Chilton,South,Alabama,AL,37%,21%,28%,12%,14%,32%
Pike,South,Alabama,AL,34%,22%,34%,12%,21%,29%
Dale,South,Alabama,AL,36%,20%,34%,12%,17%,28%
Coffee,South,Alabama,AL,30%,19%,25%,12%,16%,29%
Franklin,South,Alabama,AL,34%,20%,36%,12%,15%,35%
Lawrence,South,Alabama,AL,36%,20%,23%,12%,15%,35%
Jefferson,South,Alabama,AL,34%,17%,29%,13%,18%,28%
Cherokee,South,Alabama,AL,33%,20%,28%,13%,15%,31%
Jackson,South,Alabama,AL,31%,20%,29%,13%,14%,32%
Bibb,South,Alabama,AL,40%,21%,27%,13%,16%,33%
Calhoun,South,Alabama,AL,32%,24%,28%,13%,18%,34%
Winston,South,Alabama,AL,29%,22%,32%,13%,17%,31%
Houston,South,Alabama,AL,34%,19%,31%,13%,17%,31%
Covington,South,Alabama,AL,32%,20%,30%,13%,16%,36%
Russell,South,Alabama,AL,35%,21%,30%,13%,20%,31%
Marion,South,Alabama,AL,35%,20%,26%,13%,16%,36%
Walker,South,Alabama,AL,33%,22%,33%,13%,16%,34%
Etowah,South,Alabama,AL,35%,22%,30%,13%,16%,33%
Geneva,South,Alabama,AL,35%,22%,36%,13%,16%,31%
Colbert,South,Alabama,AL,37%,19%,25%,13%,16%,30%
Fayette,South,Alabama,AL,32%,21%,29%,13%,17%,31%
Lamar,South,Alabama,AL,33%,21%,28%,13%,17%,33%
Montgomery,South,Alabama,AL,34%,20%,32%,14%,21%,28%
Clay,South,Alabama,AL,38%,20%,29%,14%,17%,36%
Randolph,South,Alabama,AL,33%,20%,30%,14%,18%,31%
Mobile,South,Alabama,AL,36%,21%,30%,14%,19%,30%
Washington,South,Alabama,AL,36%,20%,27%,14%,17%,33%
Crenshaw,South,Alabama,AL,37%,20%,28%,14%,17%,32%
Henry,South,Alabama,AL,35%,18%,27%,14%,16%,29%
Tallapoosa,South,Alabama,AL,37%,21%,34%,14%,18%,32%
Talladega,South,Alabama,AL,38%,22%,33%,15%,19%,34%
Chambers,South,Alabama,AL,40%,21%,32%,15%,21%,35%
Barbour,South,Alabama,AL,41%,21%,38%,15%,22%,33%
Escambia,South,Alabama,AL,39%,23%,32%,15%,20%,33%
Clarke,South,Alabama,AL,36%,21%,34%,16%,23%,30%
Pickens,South,Alabama,AL,37%,22%,35%,16%,21%,34%
Coosa,South,Alabama,AL,39%,22%,29%,16%,18%,31%
Choctaw,South,Alabama,AL,39%,19%,32%,16%,19%,34%
Butler,South,Alabama,AL,36%,23%,37%,16%,22%,34%
Monroe,South,Alabama,AL,37%,22%,33%,16%,23%,32%
Bullock,South,Alabama,AL,45%,22%,43%,17%,24%,33%
Hale,South,Alabama,AL,36%,22%,37%,17%,23%,35%
Marengo,South,Alabama,AL,41%,22%,33%,18%,21%,35%
Macon,South,Alabama,AL,42%,24%,44%,18%,25%,31%
Conecuh,South,Alabama,AL,37%,24%,41%,19%,23%,34%
Dallas,South,Alabama,AL,42%,25%,50%,19%,29%,34%
Lowndes,South,Alabama,AL,46%,23%,43%,19%,26%,31%
Sumter,South,Alabama,AL,40%,24%,51%,19%,28%,31%
Perry,South,Alabama,AL,38%,25%,66%,20%,26%,33%
Wilcox,South,Alabama,AL,44%,25%,47%,21%,30%,32%
Greene,South,Alabama,AL,46%,27%,46%,23%,27%,33%
Faulkner,South,Arkansas,AL,29%,22%,17%,9%,18%,30%
Washington,South,Arkansas,AL,29%,23%,22%,9%,17%,26%
Benton,South,Arkansas,AL,28%,19%,16%,9%,14%,25%
Lonoke,South,Arkansas,AL,34%,21%,18%,10%,16%,30%
Grant,South,Arkansas,AR,37%,20%,19%,10%,15%,33%
Pope,South,Arkansas,AR,33%,21%,25%,10%,18%,28%
Craighead,South,Arkansas,AR,36%,24%,31%,10%,20%,34%
Saline,South,Arkansas,AR,32%,19%,13%,10%,15%,31%
White,South,Arkansas,AR,35%,23%,25%,10%,19%,30%
Greene,South,Arkansas,AR,34%,23%,23%,10%,19%,39%
Crawford,South,Arkansas,AR,36%,22%,24%,11%,18%,33%
Perry,South,Arkansas,AR,36%,22%,27%,11%,18%,31%
Hot Spring,South,Arkansas,AR,33%,21%,29%,11%,18%,37%
Clark,South,Arkansas,AR,32%,23%,28%,11%,23%,32%
Sebastian,South,Arkansas,AR,35%,23%,32%,11%,18%,31%
Boone,South,Arkansas,AR,29%,22%,26%,12%,18%,33%
Independence,South,Arkansas,AR,34%,23%,26%,12%,20%,37%
Cleveland,South,Arkansas,AR,37%,20%,24%,12%,19%,32%
Randolph,South,Arkansas,AR,35%,22%,28%,12%,19%,40%
Franklin,South,Arkansas,AR,37%,23%,26%,12%,18%,33%
Johnson,South,Arkansas,AR,35%,24%,29%,12%,18%,37%
Logan,South,Arkansas,AR,35%,21%,30%,12%,18%,36%
Yell,South,Arkansas,AR,35%,23%,27%,12%,16%,37%
Pulaski,South,Arkansas,AR,32%,20%,24%,12%,21%,28%
Miller,South,Arkansas,AR,34%,23%,31%,12%,21%,33%
Lawrence,South,Arkansas,AR,33%,24%,31%,12%,21%,38%
Pike,South,Arkansas,AR,37%,23%,30%,12%,19%,32%
Clay,South,Arkansas,AR,33%,23%,28%,12%,21%,40%
Madison,South,Arkansas,AR,33%,23%,28%,13%,17%,33%
Lincoln,South,Arkansas,AR,36%,26%,30%,13%,23%,37%
Scott,South,Arkansas,AR,31%,23%,37%,13%,17%,31%
Poinsett,South,Arkansas,AR,40%,25%,34%,13%,22%,35%
Cleburne,South,Arkansas,AR,31%,20%,24%,13%,17%,39%
Conway,South,Arkansas,AR,39%,22%,27%,13%,20%,33%
Garland,South,Arkansas,AR,31%,23%,28%,13%,19%,28%
Jackson,South,Arkansas,AR,40%,25%,34%,13%,23%,39%
Carroll,South,Arkansas,AR,36%,20%,30%,13%,15%,33%
Arkansas,South,Arkansas,AR,34%,22%,29%,13%,20%,37%
Little River,South,Arkansas,AR,33%,21%,26%,13%,18%,33%
Columbia,South,Arkansas,AR,38%,24%,31%,13%,24%,35%
Sevier,South,Arkansas,AR,40%,23%,31%,13%,16%,33%
Union,South,Arkansas,AR,36%,23%,34%,13%,22%,39%
Cross,South,Arkansas,AR,38%,23%,33%,13%,21%,36%
Polk,South,Arkansas,AR,32%,23%,33%,13%,18%,34%
Drew,South,Arkansas,AR,31%,25%,28%,14%,25%,32%
Fulton,South,Arkansas,AR,32%,21%,34%,14%,18%,33%
Izard,South,Arkansas,AR,33%,22%,29%,14%,19%,35%
Prairie,South,Arkansas,AR,35%,22%,27%,14%,19%,35%
Calhoun,South,Arkansas,AR,35%,22%,24%,14%,20%,36%
Newton,South,Arkansas,AR,37%,22%,35%,14%,18%,36%
Searcy,South,Arkansas,AR,32%,23%,38%,14%,19%,33%
Crittenden,South,Arkansas,AR,38%,26%,41%,14%,27%,34%
Baxter,South,Arkansas,AR,29%,20%,26%,14%,17%,32%
Montgomery,South,Arkansas,AR,33%,21%,34%,14%,18%,32%
Van Buren,South,Arkansas,AR,35%,23%,33%,14%,19%,34%
Mississippi,South,Arkansas,AR,38%,26%,37%,14%,25%,40%
Marion,South,Arkansas,AR,31%,23%,33%,14%,18%,33%
Sharp,South,Arkansas,AR,33%,23%,34%,14%,20%,29%
Stone,South,Arkansas,AR,35%,24%,39%,14%,21%,32%
Ashley,South,Arkansas,AR,40%,24%,33%,14%,22%,34%
Howard,South,Arkansas,AR,37%,25%,29%,14%,20%,34%
Hempstead,South,Arkansas,AR,41%,26%,34%,15%,21%,36%
Dallas,South,Arkansas,AR,36%,22%,32%,16%,24%,38%
Ouachita,South,Arkansas,AR,38%,23%,32%,16%,24%,38%
Jefferson,South,Arkansas,AR,39%,26%,40%,16%,26%,36%
Bradley,South,Arkansas,AR,37%,25%,39%,16%,22%,37%
Lafayette,South,Arkansas,AR,34%,25%,37%,16%,24%,35%
Woodruff,South,Arkansas,AR,36%,25%,36%,16%,24%,33%
St. Francis,South,Arkansas,AR,40%,28%,46%,16%,28%,36%
Lee,South,Arkansas,AR,35%,28%,47%,17%,29%,35%
Desha,South,Arkansas,AR,39%,25%,38%,17%,27%,35%
Nevada,South,Arkansas,AR,34%,27%,34%,17%,22%,34%
Monroe,South,Arkansas,AR,37%,26%,39%,18%,25%,38%
Phillips,South,Arkansas,AR,42%,27%,51%,18%,30%,38%
Chicot,South,Arkansas,AR,39%,27%,43%,18%,27%,38%
Alachua,South,Florida,FL,25%,18%,22%,8%,20%,19%
Leon,South,Florida,FL,28%,18%,23%,9%,21%,19%
Santa Rosa,South,Florida,FL,26%,17%,16%,9%,15%,25%
Okaloosa,South,Florida,FL,25%,18%,20%,9%,15%,25%
Wakulla,South,Florida,FL,36%,18%,21%,9%,16%,26%
St. Johns,South,Florida,FL,23%,14%,11%,9%,13%,18%
Clay,South,Florida,FL,29%,16%,16%,9%,14%,25%
Baker,South,Florida,FL,37%,19%,26%,9%,17%,36%
Bay,South,Florida,FL,30%,17%,23%,9%,17%,27%
Seminole,South,Florida,FL,25%,15%,16%,9%,14%,21%
Orange,South,Florida,FL,24%,16%,25%,10%,16%,23%
Liberty,South,Florida,FL,39%,21%,29%,10%,18%,31%
Nassau,South,Florida,FL,28%,17%,18%,10%,15%,24%
Lafayette,South,Florida,FL,37%,21%,31%,10%,16%,33%
Escambia,South,Florida,FL,31%,18%,24%,10%,19%,26%
Duval,South,Florida,FL,30%,18%,27%,10%,19%,24%
Walton,South,Florida,FL,27%,18%,27%,10%,15%,24%
